stop_name	stop_lat	stop_lon
OjcaBeyzyma	51.0906467900	16.9922862000
Drzewieckiego	51.1215805200	16.9679089200
Siechnice-Staszica	51.0222210000	17.1606040000
GIEŁDOWA(CentrumHurtu)	51.0681134100	16.9695234600
Łosice	51.2166636800	17.2049164500
Januszkowice-Wrocławska	51.2212137800	17.2388790400
Gromadzka	51.1292307400	16.8548804800
GAJ	51.0769005700	17.0419316500
Grabowa	51.1398592800	16.9212092800
MostyWarszawskie	51.1283805300	17.0546427100
Gajowa	51.0919384600	17.0400436800
Kamienna(Widna)	51.0862699700	17.0448769600
WrocławskiParkPrzemysłowy	51.1125054600	16.9934106100
Skarżyńskiego	51.1092096100	16.9041677300
Transbud	51.0837238900	17.0596581100
OjcaBeyzyma	51.0904155400	16.9924411100
Hartmana	51.1599490000	16.8771594500
PILCZYCE	51.1366514700	16.9480223600
Pułtuska	51.0739374700	17.0157181600
Bałtycka	51.1366318700	17.0306168000
RACŁAWICKA(pętla)	51.0775900000	16.9847640000
Gądowianka	51.1192350200	16.9710863800
STADIONWROCŁAW(Królewiecka)	51.1450275900	16.9479168600
Św.Katarzyna-szkoła	51.0254970000	17.1147820000
Nowowiejska	51.1242394000	17.0449878900
Łużycka	51.1362300800	17.0164017000
Ślęza(ul.Pszenna-autostrada)	51.0429274300	16.9911233700
Braterska	51.0676757400	16.9992089800
BARDZKA	51.0829166600	17.0504896100
BROCHÓW	51.0589050000	17.0872960000
Świeradowska	51.0770472100	17.0462380800
DWORZECGŁÓWNY	51.0996183100	17.0350583000
OSOBOWICE	51.1374777700	16.9936599100
Górnicza	51.1399021200	16.9594143300
Polanowicka	51.1700628700	17.0236699200
Kiełczów-cmentarz	51.1371178900	17.1772372300
Jarocińska	51.1419203400	16.9906040500
PETRUSEWICZA	51.0923060000	17.0307410000
Poświęcka	51.1560296400	17.0337226900
DolnośląskaSzkołaWyższa	51.1136238500	16.9905764300
pl.Bema	51.1175088800	17.0421978100
Karwińska	51.0820457700	17.0769832000
PsiePole(RondoLotnikówPolskich)	51.1481929100	17.1174114300
Jeleniogórska	51.1453345700	16.8780290600
Renoma	51.1042904300	17.0299979500
Krępicka-szkoła	51.1500133400	16.8604490700
Gałczyńskiego	51.0550544200	17.0322110100
NaNiskichŁąkach	51.0966840400	17.0577493300
Jarnołtowska(Samotworska)	51.1200838600	16.8502475600
ZajezdniaObornicka	51.1487374400	17.0210685900
Robotnicza	51.1095676600	17.0082892300
Zagłębiowska	51.0740204200	17.0880132600
Chińska	51.0608851300	17.0817574600
Siechnice-ZOZ	51.0378200000	17.1409670000
Kurpiów	51.0546745900	17.0268831300
SĘPOLNO	51.1138712400	17.1039946400
Opatowickanr127	51.0919275700	17.1330333800
Rdestowa	51.1112747700	16.8880577300
STADIONWROCŁAW(Królewiecka)	51.1451620400	16.9491360000
Ratyń-skrzyżowanie	51.1302853900	16.8476622600
Brodzka	51.1568793000	16.9229924000
Tokary-centrum	51.2330337300	17.1404028900
PILCZYCE	51.1364290200	16.9505078100
NaNiskichŁąkach	51.0970555300	17.0554487900
MostMilenijny	51.1359163400	16.9984428200
Kępa-skrzy.	51.2410499100	17.1967672300
KROMERA	51.1317652000	17.0652074000
Kępa	51.2386183400	17.2092182200
Kominiarska	51.1689266600	16.9971452000
PL.DANIŁOWSKIEGO	51.1383443100	17.0599882600
HalaStulecia	51.1070399600	17.0728323200
LUTYNIA	51.1350080000	16.7834535000
UniwersytetEkonomiczny	51.0902433500	17.0286277000
Lubelska	51.1639163100	16.9191472700
Wolska	51.1466610000	16.8693550000
Śliwice	51.1290719500	17.2131062100
LEŚNICA	51.1455383300	16.8703672200
RĘDZIN	51.1661503100	16.9667358800
pl.Wróblewskiego	51.1052627400	17.0480874000
Bajana	51.1307276200	16.9671791900
POLANOWICE	51.1625272600	17.0459865000
Magellana	51.1135545300	17.1213349700
LIPAPIOTROWSKA	51.1731299600	16.9946675500
Lawendowa	51.1698500000	17.0002730000
Pasikurowice-Wrocławska(nawys.nr14)	51.2154030100	17.1110910300
GALERIADOMINIKAŃSKA	51.1089984000	17.0411773100
Brzezina-Osiedle	51.1922540000	16.8334665000
Modra	51.1366740600	16.9666521900
Wiaduktowa	51.0754529800	17.0760928600
WzgórzePartyzantów	51.1042805600	17.0374997100
Piramowicza	51.1029892700	17.0969646500
Świdnicka	51.1072813000	17.0328509900
Kleczkowska	51.1267293200	17.0279064000
PRACZEODRZAŃSKIE	51.1747050400	16.9066019500
KUŹNIKI(Stacjakolejowa)	51.1262151500	16.9550870400
NaOstatnimGroszu	51.1231804900	16.9750780800
PsiePole(RondoLotnikówPolskich)	51.1471111900	17.1166803100
DomaszczynWrocławskasklep	51.1900472700	17.1708592500
Kosmonautów(Szpital)	51.1418459500	16.9059439000
Kiełczów-WODROL	51.1349012500	17.1756012400
Topolowa	51.0694651300	17.0804192500
Bociania	51.1298715700	17.0978813500
Bierutowska	51.1537872200	17.1363615100
mostOsobowicki	51.1331533800	17.0264207700
Mirków-Sportowa	51.1634077900	17.1572986300
Kosmonautów(Szpital)	51.1417354600	16.9060826300
PL.STASZICA	51.1227854600	17.0308200600
Mroźna	51.1348601600	17.1384322200
Gąsiorowskiego	51.1442212600	17.0399977900
Swojczyce	51.1145818000	17.1288162200
PARKPOŁUDNIOWY	51.0726200500	17.0107435600
Rynek	51.1110477400	17.0269635300
Szczecińska	51.1224508500	16.9309962300
BIELANYWROCŁAWSKIE	51.0327015600	16.9677890500
Grabiszyńska	51.1022549400	17.0123390900
KRAKOWSKA(Centrumhandlowe)	51.0900349300	17.0646568700
IWINY-pętla	51.0422930000	17.0723610000
pl.OrlątLwowskich	51.1077807100	17.0222147000
Św.Katarzyna-Głównanż	51.0319200000	17.1253240000
Łużycka	51.1361168900	17.0166050300
Kośnego	51.1207106000	16.8640121100
Zagłoby	51.1095419000	16.9302482300
Januszkowice-Wierzbowa	51.2238700800	17.2382264500
Dubois	51.1172784300	17.0342973300
Parafialna	51.0631572800	17.0322484500
KowalskaI	51.1266857000	17.1156350600
Azaliowa	51.1641714100	17.1119364000
Siechnice	51.0312020000	17.1418670000
Maślicka(Osiedle)	51.1474924300	16.9477391900
Pisarzowice-Odrzańska	51.2050515000	16.8524908000
Wyszyńskiego	51.1227988000	17.0528858000
Małomicka	51.1668052400	16.8867304900
Bezpieczna	51.1412386800	17.0250751400
Renoma	51.1041265100	17.0323177900
GrobliceII-Kotowicka	51.0135110000	17.1750000000
Krzelowska	51.1774615200	16.8786003600
PL.JANAPAWŁAII	51.1127054600	17.0206180600
PARKPOŁUDNIOWY	51.0726710900	17.0144784300
Wschowska	51.1449086300	16.8814493900
LEŚNICA	51.1448916300	16.8716380400
Psary-Szkoła	51.1867050000	17.0318510000
Daszyńskiego	51.1263180700	17.0477574100
Morwowa	51.0759126400	17.0519091400
Januszkowice-skrzy.Kępa	51.2327202700	17.2365359100
MonteCassino	51.1060319700	17.1055154300
Kochanowskiego	51.1150627500	17.0736171000
Bociania	51.1298900800	17.0971764700
Rondo	51.0911494400	17.0178796300
Uniwersytet	51.1137562100	17.0323867600
KRZYKI	51.0748550000	17.0062318900
Pilczycka(Anima)	51.1351552600	16.9692437400
Bzowa(CentrumZajezdnia)	51.0976059800	16.9926512100
Kosmonautów(NoweŻerniki)	51.1391930000	16.9269190000
Bałtycka(szkoła)	51.1385991200	17.0288086600
Popowice	51.1263766400	16.9952899900
pl.Legionów	51.1041647100	17.0201090300
Pułtuska	51.0745575000	17.0164437100
Koszarowa	51.1402692700	17.0698749100
Byków-Jaśminowa	51.1923120900	17.2474286600
PL.JANAPAWŁAII	51.1117500700	17.0204681500
Żmudzka	51.1440083000	17.1409808300
Wiejska	51.0781745600	16.9641083500
Zaporoska	51.0978994000	17.0146602800
LEŚNICA	51.1447151500	16.8712568500
NOWYDWÓR(pętla)	51.1194207700	16.9515678100
Chłodna	51.0751223400	16.9966708600
Poleska	51.1465301600	17.1290510900
ZACHODNIA(Stacjakolejowa)	51.1160249300	17.0012958900
Głubczycka	51.0800063400	17.0804495800
Kleczkowska	51.1267139500	17.0276264000
Wojanowska	51.1538710000	16.8934100000
UrządWojewódzki	51.1086103000	17.0499577900
Milicka	51.1527670000	17.0436330000
Os.Przyjaźni	51.0695733800	16.9973643100
NarodoweForumMuzyki	51.1078990000	17.0262940000
Przedwiośnie(Stacjakolejowa)	51.1604270700	17.1224171100
Polkowicka	51.1554325000	16.8734630700
Godebskiego(AWFWrocław)	51.1139412900	17.0979923800
Jastrzębia	51.0837239800	17.0100384700
Górnicza	51.1406265500	16.9582568900
Morelowskiego	51.0696805600	16.9689522000
Gajowicka(szkoła)	51.0846041800	17.0038120300
